2017/07/09 13:29:12 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2017/07/09 13:29:12 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2017/07/09 13:29:12 INFO  - jmeter.save.SaveService: Using SaveService properties version 3.1 
2017/07/09 13:29:12 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2017/07/09 13:29:12 INFO  - jmeter.save.SaveService: Loading file: C:\Performance repo\apache-jmeter-3.1\bin\templates\recording.jmx 
2017/07/09 13:29:12 INFO  - jmeter.protocol.http.control.CookieManager: Settings: Delete null: true Check: true Allow variable: true Save: true Prefix: COOKIE_ 
2017/07/09 13:33:58 INFO  - jmeter.services.FileServer: Default base='C:\Performance repo\apache-jmeter-3.1\bin' 
2017/07/09 13:33:58 INFO  - jmeter.gui.action.Load: Loading file: C:\Performance repo\SS presentation\create_patients.jmx 
2017/07/09 13:33:58 INFO  - jmeter.services.FileServer: Set new base='C:\Performance repo\SS presentation' 
2017/07/09 13:33:58 INFO  - jmeter.save.SaveService: Loading file: C:\Performance repo\SS presentation\create_patients.jmx 
2017/07/09 13:33:58 INFO  - jmeter.protocol.http.control.CacheManager: Will only cache the following methods: [GET] 
2017/07/09 13:33:58 INFO  - jmeter.services.FileServer: Set new base='C:\Performance repo\SS presentation' 
2017/07/09 13:35:41 INFO  - jmeter.gui.action.Load: Loading file: C:\Performance repo\apache-jmeter-3.1\bin\templates\recording.jmx 
2017/07/09 13:35:41 INFO  - jmeter.save.SaveService: Loading file: C:\Performance repo\apache-jmeter-3.1\bin\templates\recording.jmx 
2017/07/09 13:36:46 INFO  - jmeter.protocol.http.proxy.ProxyControl: Creating Proxy CA in C:\Performance repo\apache-jmeter-3.1\bin\proxyserver.jks 
2017/07/09 13:36:48 INFO  - jmeter.protocol.http.proxy.ProxyControl: Created keystore in C:\Performance repo\apache-jmeter-3.1\bin\proxyserver.jks 
2017/07/09 13:36:48 INFO  - jmeter.protocol.http.proxy.ProxyControl: Creating entry http://www.gorodknig.com in C:\Performance repo\apache-jmeter-3.1\bin\proxyserver.jks 
2017/07/09 13:36:50 INFO  - jmeter.protocol.http.proxy.Daemon: Creating Daemon Socket on port: 9999 
2017/07/09 13:36:50 INFO  - jmeter.protocol.http.proxy.Daemon: Test Script Recorder up and running! 
2017/07/09 13:36:50 INFO  - jmeter.protocol.http.proxy.Proxy: Proxy will remove the headers: If-Modified-Since,If-None-Match,Host 
2017/07/09 13:36:50 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = DESKTOP-BG077B6 
2017/07/09 13:36:50 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 0 
2017/07/09 13:36:50 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2017/07/09 13:37:56 INFO  - jmeter.protocol.http.proxy.Daemon: HTTP(S) Test Script Recorder stopped 
